profit_per_user,multi_func_profit_profit,multi_func_profit_cost,multi_func_profit_users,multi_func_worst_profit_profit,multi_func_worst_profit_cost,multi_func_worst_profit_users,multi_func_min_cost_profit,multi_func_min_cost_cost,multi_func_min_cost_users,multi_func_max_users_profit,multi_func_max_users_cost,multi_func_max_users_users,single_func_profit,single_func_cost,single_func_users,random_deploy_profit,random_deploy_cost,random_deploy_users
52.25,-208.34,312.84,2.0,-630.67,839.67,4.0,-208.34,312.84,2.0,-628.51,837.51,4.0,-318.58,423.08,2.0,-474.62,631.37,3.0
53.9,-103.55,157.45,1.0,-617.33,886.83,5.0,-103.55,157.45,1.0,-614.37,883.87,5.0,-383.3,491.1,2.0,-512.32,674.02,3.0
55.22,-737.13,792.35,1.0,-1895.16,2005.6,2.0,-737.13,792.35,1.0,-1711.15,1821.59,2.0,-1886.87,1997.31,2.0,-946.0,1001.22,1.0
56.29,-1260.49,1316.78,1.0,-1541.56,1597.85,1.0,-1260.49,1316.78,1.0,-1368.63,1424.92,1.0,-1532.94,1589.23,1.0,-1533.16,1589.45,1.0
57.2,-1944.96,2002.16,1.0,-2289.81,2347.01,1.0,-1944.96,2002.16,1.0,-2190.89,2248.09,1.0,-2286.78,2343.98,1.0,-2199.13,2256.33,1.0
58.81,-203.46,321.08,2.0,-617.93,853.17,4.0,-203.46,321.08,2.0,-613.71,848.95,4.0,-466.61,643.04,3.0,-615.82,851.06,4.0
62.62,-38.37,163.61,2.0,-623.49,936.59,5.0,-38.37,163.61,2.0,-540.83,1041.79,8.0,-495.45,745.93,4.0,-373.06,560.92,3.0
63.56,-759.59,823.15,1.0,-2123.27,2250.39,2.0,-759.59,823.15,1.0,-1687.82,1814.94,2.0,-1060.06,1123.62,1.0,-1058.33,1121.89,1.0
66.51,-1321.19,1387.7,1.0,-1475.35,1541.86,1.0,-1321.19,1387.7,1.0,-1419.34,1485.85,1.0,-1469.76,1536.27,1.0,-1472.75,1539.26,1.0
67.3,-771.15,838.45,1.0,-1909.64,2044.24,2.0,-771.15,838.45,1.0,-1907.42,2042.02,2.0,-1905.05,2039.65,2.0,-794.83,862.13,1.0
71.13,-42.75,256.14,3.0,-338.16,764.94,6.0,-42.75,256.14,3.0,-338.16,764.94,6.0,-283.95,639.6,5.0,-286.1,641.75,5.0
124.88,738.32,135.84,7.0,46.82,78.06,1.0,90.03,34.85,1.0,738.32,135.84,7.0,47.69,77.19,1.0,79.37,45.51,1.0
127.53,669.87,95.31,6.0,88.02,39.51,1.0,88.95,38.58,1.0,669.87,95.31,6.0,88.72,38.81,1.0,88.49,39.04,1.0
131.37,460.53,196.32,5.0,23.79,107.58,1.0,69.8,61.57,1.0,459.63,197.22,5.0,24.44,106.93,1.0,65.11,66.26,1.0
133.81,692.22,110.64,6.0,204.52,63.1,2.0,346.11,55.32,3.0,692.22,110.64,6.0,205.03,62.59,2.0,308.32,93.11,3.0
137.79,560.94,265.8,6.0,37.78,100.01,1.0,82.47,55.32,1.0,560.61,266.13,6.0,39.01,98.78,1.0,47.47,90.32,1.0
139.04,833.35,139.93,7.0,53.07,85.97,1.0,93.5,45.54,1.0,798.96,174.32,7.0,54.28,84.76,1.0,55.08,83.96,1.0
140.29,415.16,146.0,4.0,86.43,53.86,1.0,86.6,53.69,1.0,415.16,146.0,4.0,173.54,107.04,2.0,86.6,53.69,1.0
145.96,750.93,124.83,6.0,105.32,40.64,1.0,105.52,40.44,1.0,750.93,124.83,6.0,105.52,40.44,1.0,105.52,40.44,1.0
148.89,892.92,149.31,7.0,58.86,90.03,1.0,104.03,44.86,1.0,892.92,149.31,7.0,59.84,89.05,1.0,93.56,55.33,1.0
150.21,991.11,210.57,8.0,57.35,92.86,1.0,106.04,44.17,1.0,990.38,211.3,8.0,58.56,91.65,1.0,72.41,77.8,1.0
154.7,534.65,238.85,5.0,35.5,119.2,1.0,81.18,73.52,1.0,483.25,290.25,5.0,35.84,118.86,1.0,72.96,81.74,1.0
160.95,945.07,181.58,7.0,80.7,80.25,1.0,112.37,48.58,1.0,945.07,181.58,7.0,164.59,157.31,2.0,230.77,91.13,2.0
166.49,280.88,218.59,3.0,62.4,104.09,1.0,110.52,55.97,1.0,280.36,219.11,3.0,126.61,206.37,2.0,280.36,219.11,3.0
178.73,-205.21,383.94,1.0,-230.9,409.63,1.0,-205.21,383.94,1.0,-206.39,385.12,1.0,-229.72,408.45,1.0,-229.01,407.74,1.0
180.14,535.85,184.71,4.0,73.34,106.8,1.0,147.03,33.11,1.0,515.45,205.11,4.0,73.93,106.21,1.0,74.42,105.72,1.0
183.82,-205.2,389.02,1.0,-206.94,390.76,1.0,-205.2,389.02,1.0,-205.2,389.02,1.0,-205.2,389.02,1.0,-205.63,389.45,1.0
185.24,415.79,139.93,3.0,138.11,47.13,1.0,150.59,34.66,1.0,371.53,184.19,3.0,221.83,148.65,2.0,246.05,124.43,2.0
187.38,563.77,185.75,4.0,55.38,132.0,1.0,151.2,36.17,1.0,563.77,185.75,4.0,57.89,129.49,1.0,226.5,148.26,2.0
189.98,459.84,110.1,3.0,153.28,36.7,1.0,153.28,36.7,1.0,374.07,195.87,3.0,247.05,132.91,2.0,248.21,131.75,2.0
191.32,557.53,207.75,4.0,133.41,57.91,1.0,154.11,37.21,1.0,474.36,290.92,4.0,353.46,220.5,3.0,355.77,218.19,3.0
192.44,-209.27,401.71,1.0,-338.29,530.73,1.0,-209.27,401.71,1.0,-259.38,451.82,1.0,-336.76,529.2,1.0,-234.37,426.81,1.0
193.49,-199.45,392.94,1.0,-366.65,560.14,1.0,-199.45,392.94,1.0,-278.5,471.99,1.0,-363.13,556.62,1.0,-258.19,451.68,1.0
196.18,472.27,116.27,3.0,157.43,38.76,1.0,157.43,38.76,1.0,380.65,207.89,3.0,252.52,139.84,2.0,380.65,207.89,3.0
199.9,425.89,373.71,4.0,4.49,195.41,1.0,118.32,81.58,1.0,425.89,373.71,4.0,6.75,193.15,1.0,6.59,193.31,1.0
201.22,559.97,244.91,4.0,57.81,143.41,1.0,160.42,40.8,1.0,558.3,246.58,4.0,120.3,282.14,2.0,153.34,249.1,2.0
204.98,377.78,442.14,4.0,85.65,119.33,1.0,120.31,84.67,1.0,333.86,486.06,4.0,95.96,314.0,2.0,97.91,312.05,2.0
208.95,-281.98,490.93,1.0,-284.11,493.06,1.0,-281.98,490.93,1.0,-282.51,491.46,1.0,-283.04,491.99,1.0,-283.58,492.53,1.0
210.1,552.45,498.05,5.0,122.34,87.76,1.0,122.34,87.76,1.0,552.45,498.05,5.0,163.84,256.36,2.0,247.09,383.21,3.0
211.07,536.23,519.12,5.0,28.81,182.26,1.0,122.29,88.78,1.0,534.7,520.65,5.0,62.55,359.59,2.0,178.74,243.4,2.0
212.54,390.83,459.33,4.0,14.24,198.3,1.0,122.73,89.81,1.0,389.81,460.35,4.0,17.02,195.52,1.0,219.71,417.91,3.0
213.74,630.25,224.71,4.0,142.75,70.99,1.0,168.33,45.41,1.0,614.93,240.03,4.0,228.09,413.13,3.0,150.85,276.63,2.0
220.97,372.03,290.88,3.0,124.01,96.96,1.0,124.01,96.96,1.0,372.03,290.88,3.0,166.92,275.02,2.0,124.01,96.96,1.0
222.51,-285.53,508.04,1.0,-344.69,567.2,1.0,-285.53,508.04,1.0,-342.5,565.01,1.0,-342.5,565.01,1.0,-343.99,566.5,1.0
223.91,450.5,445.14,4.0,22.92,200.99,1.0,125.91,98.0,1.0,449.96,445.68,4.0,48.45,399.37,2.0,47.28,400.54,2.0
227.22,378.45,303.21,3.0,126.15,101.07,1.0,126.15,101.07,1.0,272.77,408.89,3.0,179.69,274.75,2.0,272.77,408.89,3.0
228.46,764.3,378.0,5.0,276.1,180.82,2.0,354.83,102.09,2.0,693.3,449.0,5.0,554.21,359.63,4.0,610.44,303.4,4.0
232.67,522.31,641.04,5.0,16.53,448.81,2.0,127.51,105.16,1.0,293.55,869.8,5.0,18.35,446.99,2.0,21.4,443.94,2.0
233.83,518.2,650.95,5.0,127.64,106.19,1.0,127.64,106.19,1.0,518.2,650.95,5.0,205.32,262.34,2.0,516.97,652.18,5.0
236.24,-299.96,536.2,1.0,-919.78,1392.26,2.0,-299.96,536.2,1.0,-916.58,1389.06,2.0,-459.45,695.69,1.0,-459.56,695.8,1.0
240.28,987.87,453.81,6.0,370.26,110.3,2.0,370.26,110.3,2.0,987.87,453.81,6.0,658.58,302.54,4.0,820.09,381.31,5.0
241.29,431.67,533.49,4.0,129.97,111.32,1.0,129.97,111.32,1.0,305.14,660.02,4.0,304.75,660.41,4.0,292.8,431.07,3.0
242.8,-711.95,954.75,1.0,-832.17,1074.97,1.0,-711.95,954.75,1.0,-743.76,986.56,1.0,-827.27,1070.07,1.0,-829.28,1072.08,1.0
243.55,473.31,500.89,4.0,12.16,231.39,1.0,130.18,113.37,1.0,332.75,641.45,4.0,28.74,458.36,2.0,48.33,438.77,2.0
246.34,523.7,708.0,5.0,130.93,115.41,1.0,130.93,115.41,1.0,523.7,708.0,5.0,414.68,570.68,4.0,392.79,346.23,3.0
253.65,773.52,241.08,4.0,313.62,193.68,2.0,386.76,120.54,2.0,578.91,435.69,4.0,579.93,434.67,4.0,579.42,435.18,4.0
255.3,-802.07,1057.37,1.0,-951.41,1206.71,1.0,-802.07,1057.37,1.0,-893.79,1149.09,1.0,-948.58,1203.88,1.0,-892.9,1148.2,1.0
256.46,526.44,755.86,5.0,7.4,249.06,1.0,133.87,122.59,1.0,435.54,846.76,5.0,21.85,491.07,2.0,18.19,494.73,2.0
257.35,588.27,955.83,6.0,19.61,495.09,2.0,133.74,123.61,1.0,578.64,965.46,6.0,40.57,731.48,3.0,97.49,417.21,2.0
258.95,1060.08,493.62,6.0,393.26,124.64,2.0,393.26,124.64,2.0,1060.08,493.62,6.0,705.11,330.69,4.0,1056.45,497.25,6.0
261.11,-403.65,664.76,1.0,-1058.11,1580.33,2.0,-403.65,664.76,1.0,-1054.78,1577.0,2.0,-527.46,788.57,1.0,-1054.89,1577.11,2.0
262.21,1115.27,457.99,6.0,189.54,334.88,2.0,396.72,127.7,2.0,1066.78,506.48,6.0,292.04,494.59,3.0,291.81,494.82,3.0
265.06,-830.28,1095.34,1.0,-832.28,1097.34,1.0,-830.28,1095.34,1.0,-830.95,1096.01,1.0,-831.61,1096.67,1.0,-830.95,1096.01,1.0
266.03,915.8,414.35,5.0,364.85,167.21,2.0,402.29,129.77,2.0,915.8,414.35,5.0,428.25,369.84,3.0,427.06,371.03,3.0
268.7,-827.83,1096.53,1.0,-1048.32,1317.02,1.0,-827.83,1096.53,1.0,-987.49,1256.19,1.0,-1045.67,1314.37,1.0,-936.34,1205.04,1.0
271.21,-398.09,669.3,1.0,-914.42,1456.84,2.0,-398.09,669.3,1.0,-913.25,1455.67,2.0,-457.21,728.42,1.0,-457.8,729.01,1.0
272.64,1165.79,470.05,6.0,294.95,250.33,2.0,410.39,134.89,2.0,1164.46,471.38,6.0,597.62,492.94,4.0,444.12,373.8,3.0
277.46,-412.39,689.85,1.0,-940.2,1495.12,2.0,-412.39,689.85,1.0,-940.2,1495.12,2.0,-471.25,748.71,1.0,-471.25,748.71,1.0
279.78,-1462.53,1742.31,1.0,-1707.09,1986.87,1.0,-1462.53,1742.31,1.0,-1703.44,1983.22,1.0,-1700.19,1979.97,1.0,-1701.27,1981.05,1.0
281.37,-900.0,1181.37,1.0,-2168.13,2730.87,2.0,-900.0,1181.37,1.0,-2124.74,2687.48,2.0,-2166.3,2729.04,2.0,-1083.24,1364.61,1.0
286.42,-439.23,725.65,1.0,-1271.93,1844.77,2.0,-439.23,725.65,1.0,-1186.87,1759.71,2.0,-1259.46,1832.3,2.0,-556.83,843.25,1.0
287.66,1308.53,705.09,7.0,329.32,533.66,3.0,430.17,145.15,2.0,1165.57,848.05,7.0,450.65,699.99,4.0,335.96,527.02,3.0
290.03,428.49,441.6,3.0,142.83,147.2,1.0,142.83,147.2,1.0,371.64,788.48,4.0,277.2,592.89,3.0,184.8,395.26,2.0
291.3,747.12,1000.68,6.0,176.29,406.31,2.0,286.16,296.44,2.0,747.12,1000.68,6.0,352.65,812.55,4.0,371.85,502.05,3.0
292.54,1448.79,598.99,7.0,217.49,367.59,2.0,435.84,149.24,2.0,1445.66,602.12,7.0,333.48,544.14,3.0,860.9,601.8,5.0
296.18,431.61,456.93,3.0,277.26,611.28,3.0,287.74,304.62,2.0,375.73,808.99,4.0,280.28,608.26,3.0,277.26,611.28,3.0
297.67,1246.65,539.37,6.0,442.0,153.34,2.0,442.0,153.34,2.0,1246.65,539.37,6.0,864.67,623.68,5.0,741.52,449.16,4.0
298.92,630.96,863.64,5.0,41.74,556.1,2.0,144.56,154.36,1.0,629.09,865.51,5.0,69.9,826.86,3.0,208.74,688.02,3.0
