test_data_id,multi_func_profit_info,multi_func_time,compute_first_info,compute_first_time,memory_first_info,memory_first_time,single_func_info,single_func_time,random_deploy_info,random_deploy_time
1,"[236.21, 1291.79, 8, [(0, 1), (1, 4)]]",0.001,None,0.0,"[88.58, 484.42, 3.0, [(0, 4), (1, 3)]]",0.001,"[76.82, 496.18, 3, [(0, 1), (1, 1)]]",0.0,"[147.63, 807.37, 5, [(0, 5), (1, 8)]]",0.0
2,"[129.48, 1040.52, 6, [(0, 1), (1, 11)]]",0.002,"[43.16, 346.84, 2.0, [(0, 6), (1, 2)]]",0.0,"[129.48, 1040.52, 6, [(0, 1), (1, 11)]]",0.0,"[54.18, 530.82, 3, [(0, 1), (1, 1)]]",0.0,"[43.16, 346.84, 2.0, [(0, 3), (1, 11)]]",0.0
3,"[228.87, 1.13, 2, [(0, 4), (1, 4), (2, 4), (3, 4), (4, 6), (5, 6)]]",302.1738,"[116.6, -1.6, 1, [(0, 16), (1, 12), (2, 16), (3, 1), (4, 16), (5, 12)]]",0.001,"[233.19, -3.19, 2.0, [(0, 8), (1, 7), (2, 8), (3, 4), (4, 8), (5, 16)]]",0.0,"[114.14, 0.86, 1, [(0, 4), (1, 4), (2, 4), (3, 4), (4, 4), (5, 4)]]",0.0,"[116.15, -1.15, 1.0, [(0, 6), (1, 7), (2, 16), (3, 16), (4, 7), (5, 17)]]",0.0
4,"[192.82, 193.18, 2, [(0, 2), (1, 6), (2, 6), (3, 7)]]",0.0317,"[101.26, 91.74, 1, [(0, 8), (1, 7), (2, 8), (3, 7)]]",0.0,"[101.26, 91.74, 1, [(0, 7), (1, 6), (2, 7), (3, 6)]]",0.0015,"[93.01, 99.99, 1, [(0, 7), (1, 7), (2, 7), (3, 7)]]",0.0,"[101.26, 91.74, 1, [(0, 4), (1, 5), (2, 1), (3, 6)]]",0.001
5,"[188.35, 287.65, 4, [(0, 5), (1, 1)]]",0.0,None,0.001,None,0.0,"[83.68, 154.32, 2, [(0, 1), (1, 1)]]",0.0,"[83.68, 154.32, 2, [(0, 1), (1, 1)]]",0.0
6,"[72.77, 326.23, 3, [(0, 2), (1, 5)]]",0.001,"[24.26, 108.74, 1.0, [(0, 2), (1, 4)]]",0.0,"[24.26, 108.74, 1.0, [(0, 2), (1, 4)]]",0.0,"[22.74, 110.26, 1, [(0, 1), (1, 1)]]",0.0,"[24.26, 108.74, 1.0, [(0, 4), (1, 2)]]",0.0
7,"[517.55, 226.45, 4, [(0, 6), (1, 9), (2, 1), (3, 1), (4, 7)]]",0.5618,"[260.72, 111.28, 2, [(0, 7), (1, 1), (2, 7), (3, 1), (4, 7)]]",0.0,"[260.72, 111.28, 2.0, [(0, 7), (1, 1), (2, 7), (3, 1), (4, 5)]]",0.0,"[127.49, 58.51, 1, [(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]]",0.0,"[259.08, 112.92, 2, [(0, 7), (1, 7), (2, 6), (3, 9), (4, 7)]]",0.0
8,"[413.93, 410.07, 8, [(0, 2), (1, 2), (2, 3), (3, 6), (4, 14)]]",10.6516,"[53.69, 49.31, 1.0, [(0, 13), (1, 3), (2, 13), (3, 3), (4, 13)]]",0.001,"[214.77, 197.23, 4, [(0, 14), (1, 2), (2, 14), (3, 2), (4, 14)]]",0.001,"[45.14, 57.86, 1, [(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]]",0.0,"[53.69, 49.31, 1.0, [(0, 2), (1, 1), (2, 3), (3, 6), (4, 9)]]",0.0
9,"[256.28, -78.28, 1, [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 2)]]",0.9176,"[265.76, -87.76, 1, [(0, 4), (1, 5), (2, 4), (3, 5), (4, 4), (5, 5)]]",0.0,"[531.51, -175.51, 2, [(0, 5), (1, 6), (2, 5), (3, 6), (4, 4), (5, 2)]]",0.0,None,0.0,"[265.76, -87.76, 1, [(0, 7), (1, 1), (2, 2), (3, 3), (4, 4), (5, 7)]]",0.0
10,"[324.97, 185.03, 3, [(0, 6), (1, 6), (2, 1), (3, 3), (4, 2)]]",14.0362,None,0.0,"[218.92, 121.08, 2, [(0, 6), (1, 12), (2, 3), (3, 17), (4, 11)]]",0.001,"[103.91, 66.09, 1, [(0, 6), (1, 6), (2, 6), (3, 6), (4, 6)]]",0.0,"[109.46, 60.54, 1, [(0, 2), (1, 14), (2, 16), (3, 12), (4, 9)]]",0.0
11,"[426.39, 949.61, 8, [(0, 1), (1, 2), (2, 7), (3, 6)]]",0.0317,"[213.2, 474.8, 4.0, [(0, 3), (1, 1), (2, 3), (3, 1)]]",0.0,"[53.3, 118.7, 1.0, [(0, 1), (1, 6), (2, 1), (3, 6)]]",0.0,"[156.45, 359.55, 3, [(0, 1), (1, 1), (2, 1), (3, 1)]]",0.0,"[159.9, 356.1, 3, [(0, 7), (1, 5), (2, 6), (3, 5)]]",0.0
12,"[526.78, 213.22, 4, [(0, 2), (1, 2), (2, 9), (3, 6), (4, 7)]]",0.4528,"[268.55, 101.45, 2.0, [(0, 2), (1, 9), (2, 2), (3, 9), (4, 2)]]",0.0015,"[268.55, 101.45, 2.0, [(0, 2), (1, 9), (2, 2), (3, 9), (4, 2)]]",0.0,"[254.27, 115.73, 2, [(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]]",0.0,"[134.27, 50.73, 1, [(0, 7), (1, 8), (2, 7), (3, 3), (4, 4)]]",0.001
13,"[541.65, 438.35, 5, [(0, 8), (1, 8), (2, 9), (3, 13)]]",0.5903,"[435.2, 348.8, 4, [(0, 8), (1, 13), (2, 8), (3, 9)]]",0.0,"[326.4, 261.6, 3, [(0, 8), (1, 13), (2, 9), (3, 8)]]",0.001,"[107.58, 88.42, 1, [(0, 1), (1, 1), (2, 1), (3, 1)]]",0.0,"[108.8, 87.2, 1.0, [(0, 5), (1, 2), (2, 4), (3, 10)]]",0.0
14,"[217.73, -106.73, 1, [(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]]",2.9615,"[224.96, -113.96, 1, [(0, 13), (1, 4), (2, 13), (3, 4), (4, 13)]]",0.001,"[674.89, -341.89, 3, [(0, 1), (1, 11), (2, 1), (3, 13), (4, 2)]]",0.0,"[217.73, -106.73, 1, [(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]]",0.0,"[224.96, -113.96, 1, [(0, 6), (1, 10), (2, 3), (3, 4), (4, 11)]]",0.0
15,"[190.96, -63.96, 1, [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 6)]]",0.6097,None,0.0,None,0.001,None,0.0,"[195.64, -68.64, 1, [(0, 5), (1, 5), (2, 5), (3, 3), (4, 6), (5, 8)]]",0.0025
16,"[152.66, 396.34, 3, [(0, 1), (1, 1), (2, 1)]]",0.0015,"[163.1, 385.9, 3, [(0, 1), (1, 4), (2, 1)]]",0.0,"[163.1, 385.9, 3, [(0, 1), (1, 4), (2, 1)]]",0.0,"[152.66, 396.34, 3, [(0, 1), (1, 1), (2, 1)]]",0.0,"[54.37, 128.63, 1, [(0, 4), (1, 2), (2, 4)]]",0.0
17,"[592.98, 91.02, 4, [(0, 2), (1, 6), (2, 6), (3, 6), (4, 7), (5, 8)]]",1.8487,"[458.78, 54.22, 3, [(0, 6), (1, 7), (2, 6), (3, 7), (4, 6), (5, 7)]]",0.0,"[458.78, 54.22, 3, [(0, 6), (1, 7), (2, 6), (3, 7), (4, 6), (5, 7)]]",0.0,"[141.53, 29.47, 1, [(0, 3), (1, 3), (2, 3), (3, 3), (4, 3), (5, 3)]]",0.0,"[152.93, 18.07, 1, [(0, 6), (1, 4), (2, 6), (3, 7), (4, 6), (5, 5)]]",0.0
18,"[167.41, -36.41, 1, [(0, 3), (1, 3), (2, 3), (3, 3)]]",0.598,"[174.4, -43.4, 1.0, [(0, 5), (1, 6), (2, 5), (3, 15)]]",0.0013,None,0.001,"[167.41, -36.41, 1, [(0, 3), (1, 3), (2, 3), (3, 3)]]",0.0,"[174.4, -43.4, 1, [(0, 3), (1, 14), (2, 7), (3, 14)]]",0.0
19,"[319.54, -173.54, 1, [(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 2)]]",1.1941,"[332.14, -186.14, 1, [(0, 6), (1, 1), (2, 6), (3, 1), (4, 6), (5, 7)]]",0.0,"[332.14, -186.14, 1, [(0, 1), (1, 7), (2, 1), (3, 4), (4, 1), (5, 2)]]",0.0,None,0.0,"[328.12, -182.12, 1, [(0, 4), (1, 3), (2, 3), (3, 4), (4, 5), (5, 1)]]",0.0
20,"[261.67, 1408.33, 10.0, [(0, 1), (1, 2)]]",0.001,"[261.67, 1408.33, 10.0, [(0, 2), (1, 1)]]",0.0,"[130.84, 704.16, 5.0, [(0, 3), (1, 2)]]",0.0,"[121.72, 880.28, 6, [(0, 1), (1, 1)]]",0.0,"[26.17, 140.83, 1.0, [(0, 2), (1, 4)]]",0.0
21,"[178.35, -38.35, 1, [(0, 4), (1, 4), (2, 4), (3, 4), (4, 4)]]",0.2768,None,0.0,"[194.52, -54.52, 1, [(0, 4), (1, 1), (2, 4), (3, 5), (4, 4)]]",0.0,"[178.35, -38.35, 1, [(0, 4), (1, 4), (2, 4), (3, 4), (4, 4)]]",0.0,"[188.57, -48.57, 1, [(0, 6), (1, 6), (2, 9), (3, 6), (4, 5)]]",0.0
22,"[401.32, -202.32, 1, [(0, 1), (1, 1), (2, 1), (3, 9), (4, 9), (5, 11)]]",63.8899,"[408.61, -209.61, 1, [(0, 12), (1, 14), (2, 12), (3, 14), (4, 12), (5, 14)]]",0.001,None,0.001,None,0.0,"[408.61, -209.61, 1, [(0, 8), (1, 2), (2, 11), (3, 15), (4, 1), (5, 19)]]",0.0015
23,"[305.87, 190.13, 4, [(0, 3), (1, 3), (2, 1)]]",0.004,"[311.71, 184.29, 4, [(0, 3), (1, 1), (2, 3)]]",0.001,"[311.71, 184.29, 4, [(0, 3), (1, 1), (2, 3)]]",0.0,"[75.75, 48.25, 1, [(0, 1), (1, 1), (2, 1)]]",0.0,"[77.93, 46.07, 1.0, [(0, 3), (1, 4), (2, 6)]]",0.0
24,"[315.49, 436.51, 4, [(0, 2), (1, 3)]]",0.0,"[157.75, 218.25, 2, [(0, 3), (1, 2)]]",0.0,"[157.75, 218.25, 2, [(0, 3), (1, 2)]]",0.001,"[77.82, 110.18, 1, [(0, 2), (1, 2)]]",0.0,"[78.87, 109.13, 1, [(0, 2), (1, 4)]]",0.0
25,"[225.18, -52.18, 1, [(0, 3), (1, 3), (2, 3), (3, 3), (4, 3)]]",3.8383,"[230.28, -57.28, 1.0, [(0, 5), (1, 7), (2, 5), (3, 7), (4, 12)]]",0.0,"[460.55, -114.55, 2, [(0, 5), (1, 3), (2, 5), (3, 3), (4, 5)]]",0.0,"[225.18, -52.18, 1, [(0, 3), (1, 3), (2, 3), (3, 3), (4, 3)]]",0.0,"[460.55, -114.55, 2, [(0, 13), (1, 3), (2, 4), (3, 10), (4, 14)]]",0.0
26,"[662.78, 507.22, 10, [(0, 4), (1, 12), (2, 3), (3, 9)]]",0.2507,None,0.001,None,0.0,"[61.39, 55.61, 1, [(0, 1), (1, 1), (2, 1), (3, 1)]]",0.0,"[66.28, 50.72, 1.0, [(0, 5), (1, 10), (2, 3), (3, 10)]]",0.0
27,"[329.94, 312.06, 6, [(0, 10), (1, 2), (2, 2)]]",0.0272,"[56.95, 50.05, 1.0, [(0, 2), (1, 8), (2, 2)]]",0.0,"[284.75, 250.25, 5.0, [(0, 2), (1, 10), (2, 2)]]",0.001,"[217.56, 210.44, 4, [(0, 2), (1, 2), (2, 2)]]",0.0,"[109.98, 104.02, 2, [(0, 4), (1, 10), (2, 10)]]",0.0
28,"[489.51, 342.49, 8, [(0, 3), (1, 2), (2, 1), (3, 5)]]",0.045,"[183.57, 128.43, 3.0, [(0, 8), (1, 1), (2, 8), (3, 1)]]",0.0,"[367.14, 256.86, 6, [(0, 5), (1, 6), (2, 5), (3, 1)]]",0.0,"[113.9, 94.1, 2, [(0, 1), (1, 1), (2, 1), (3, 1)]]",0.0,"[236.28, 179.72, 4, [(0, 5), (1, 6), (2, 6), (3, 5)]]",0.0
29,"[177.92, -63.92, 1, [(0, 1), (1, 1), (2, 5), (3, 5), (4, 5), (5, 5)]]",1.4399,"[193.72, -79.72, 1, [(0, 3), (1, 6), (2, 3), (3, 6), (4, 3), (5, 6)]]",0.001,"[387.43, -159.43, 2, [(0, 5), (1, 1), (2, 5), (3, 1), (4, 5), (5, 6)]]",0.001,None,0.0,"[193.72, -79.72, 1, [(0, 5), (1, 6), (2, 3), (3, 8), (4, 3), (5, 1)]]",0.0
30,"[102.63, 127.37, 2, [(0, 1), (1, 1), (2, 1)]]",0.0,"[53.84, 61.16, 1, [(0, 1), (1, 4), (2, 1)]]",0.0,"[53.84, 61.16, 1, [(0, 1), (1, 4), (2, 1)]]",0.0,"[102.63, 127.37, 2, [(0, 1), (1, 1), (2, 1)]]",0.0,"[102.63, 127.37, 2, [(0, 1), (1, 1), (2, 1)]]",0.0
31,"[451.09, 148.91, 4, [(0, 4), (1, 4), (2, 10), (3, 10), (4, 7), (5, 8)]]",11.5466,"[118.65, 31.35, 1, [(0, 8), (1, 4), (2, 8), (3, 4), (4, 8), (5, 4)]]",0.0,None,0.0,"[103.39, 46.61, 1, [(0, 8), (1, 8), (2, 8), (3, 8), (4, 8), (5, 8)]]",0.0,"[237.31, 62.69, 2, [(0, 4), (1, 10), (2, 7), (3, 2), (4, 8), (5, 4)]]",0.0
32,"[317.43, -123.43, 1, [(0, 1), (1, 1), (2, 1), (3, 1), (4, 2), (5, 2)]]",0.8815,"[338.36, -144.36, 1, [(0, 2), (1, 3), (2, 2), (3, 3), (4, 2), (5, 3)]]",0.0,"[338.36, -144.36, 1.0, [(0, 6), (1, 5), (2, 6), (3, 3), (4, 1), (5, 2)]]",0.001,None,0.0,"[338.36, -144.36, 1, [(0, 7), (1, 1), (2, 2), (3, 5), (4, 7), (5, 1)]]",0.0
33,"[200.95, 126.05, 3, [(0, 7), (1, 7), (2, 9), (3, 3), (4, 3)]]",0.3125,"[214.27, 112.73, 3, [(0, 3), (1, 4), (2, 3), (3, 4), (4, 3)]]",0.001,"[214.27, 112.73, 3, [(0, 3), (1, 4), (2, 3), (3, 4), (4, 3)]]",0.0,"[62.06, 46.94, 1, [(0, 3), (1, 3), (2, 3), (3, 3), (4, 3)]]",0.0,"[68.3, 40.7, 1, [(0, 5), (1, 4), (2, 4), (3, 3), (4, 2)]]",0.0015
34,"[382.69, 422.31, 5, [(0, 2), (1, 1)]]",0.0,"[382.69, 422.31, 5, [(0, 2), (1, 1)]]",0.0,"[382.69, 422.31, 5.0, [(0, 2), (1, 3)]]",0.0,"[139.32, 182.68, 2, [(0, 1), (1, 1)]]",0.0,"[76.54, 84.46, 1, [(0, 3), (1, 5)]]",0.0
35,"[314.23, 225.77, 4, [(0, 7), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6)]]",2.5882,None,0.0,"[157.12, 112.88, 2, [(0, 3), (1, 2), (2, 3), (3, 2), (4, 6), (5, 2)]]",0.0,"[73.3, 61.7, 1.0, [(0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2)]]",0.0,"[78.56, 56.44, 1, [(0, 5), (1, 2), (2, 7), (3, 5), (4, 8), (5, 7)]]",0.0
36,"[434.38, 51.62, 3, [(0, 6), (1, 3), (2, 2), (3, 5)]]",0.0262,"[144.79, 17.21, 1, [(0, 6), (1, 5), (2, 6), (3, 5)]]",0.0,"[289.59, 34.41, 2, [(0, 5), (1, 2), (2, 5), (3, 6)]]",0.0,"[136.34, 25.66, 1, [(0, 5), (1, 5), (2, 5), (3, 5)]]",0.0,"[144.79, 17.21, 1, [(0, 3), (1, 8), (2, 3), (3, 2)]]",0.0
37,"[143.68, 6.32, 1, [(0, 4), (1, 4), (2, 4), (3, 4), (4, 4), (5, 4)]]",2.8247,"[156.16, -6.16, 1, [(0, 8), (1, 4), (2, 8), (3, 4), (4, 8), (5, 4)]]",0.001,None,0.0,"[143.68, 6.32, 1, [(0, 4), (1, 4), (2, 4), (3, 4), (4, 4), (5, 4)]]",0.0,"[156.16, -6.16, 1, [(0, 6), (1, 4), (2, 6), (3, 8), (4, 3), (5, 5)]]",0.0
38,"[167.29, 348.71, 3, [(0, 2), (1, 3), (2, 5)]]",0.0,"[55.76, 116.24, 1, [(0, 5), (1, 4), (2, 5)]]",0.0,"[111.52, 232.48, 2, [(0, 3), (1, 5), (2, 3)]]",0.0,"[52.49, 119.51, 1, [(0, 2), (1, 2), (2, 2)]]",0.0,"[111.52, 232.48, 2, [(0, 3), (1, 4), (2, 3)]]",0.0
39,"[188.61, -70.61, 1, [(0, 8), (1, 8), (2, 8), (3, 8), (4, 8), (5, 8)]]",2.7703,None,0.0,"[395.16, -159.16, 2, [(0, 8), (1, 9), (2, 8), (3, 9), (4, 8), (5, 7)]]",0.0,"[188.61, -70.61, 1, [(0, 8), (1, 8), (2, 8), (3, 8), (4, 8), (5, 8)]]",0.0,"[197.58, -79.58, 1, [(0, 1), (1, 3), (2, 10), (3, 3), (4, 9), (5, 7)]]",0.0
40,"[633.2, 366.8, 8, [(0, 2), (1, 6), (2, 1)]]",0.0041,"[158.3, 91.7, 2.0, [(0, 4), (1, 3), (2, 4)]]",0.0,"[316.6, 183.4, 4, [(0, 1), (1, 5), (2, 1)]]",0.001,"[210.78, 164.22, 3, [(0, 1), (1, 1), (2, 1)]]",0.0,"[474.9, 275.1, 6, [(0, 2), (1, 6), (2, 7)]]",0.0
41,"[153.51, 305.49, 3, [(0, 1), (1, 1), (2, 1)]]",0.001,"[107.26, 198.74, 2, [(0, 3), (1, 4), (2, 3)]]",0.0,"[107.26, 198.74, 2, [(0, 1), (1, 4), (2, 3)]]",0.0,"[153.51, 305.49, 3, [(0, 1), (1, 1), (2, 1)]]",0.0,"[107.26, 198.74, 2, [(0, 2), (1, 4), (2, 3)]]",0.0
42,"[257.64, 258.36, 3, [(0, 3), (1, 3), (2, 4)]]",0.001,"[181.56, 162.44, 2, [(0, 1), (1, 3), (2, 1)]]",0.0,"[181.56, 162.44, 2.0, [(0, 3), (1, 1), (2, 3)]]",0.0,"[81.58, 90.42, 1, [(0, 1), (1, 1), (2, 1)]]",0.0,"[86.48, 85.52, 1, [(0, 5), (1, 4), (2, 4)]]",0.0
43,"[436.61, 544.39, 9, [(0, 1), (1, 2)]]",0.0,"[388.1, 483.9, 8, [(0, 2), (1, 3)]]",0.0,"[339.58, 423.42, 7.0, [(0, 5), (1, 1)]]",0.0,"[183.81, 252.19, 4, [(0, 1), (1, 1)]]",0.0,"[242.56, 302.44, 5, [(0, 5), (1, 4)]]",0.0
44,"[234.02, 1349.98, 8, [(0, 2), (1, 4)]]",0.001,"[58.5, 337.5, 2.0, [(0, 5), (1, 4)]]",0.0,"[204.76, 1181.24, 7.0, [(0, 5), (1, 6)]]",0.0,"[99.97, 692.03, 4, [(0, 2), (1, 2)]]",0.0,"[58.5, 337.5, 2.0, [(0, 4), (1, 5)]]",0.0
45,"[114.72, 2.28, 1, [(0, 2), (1, 2), (2, 2), (3, 2)]]",0.3782,"[245.34, -11.34, 2, [(0, 2), (1, 15), (2, 2), (3, 15)]]",0.001,"[245.34, -11.34, 2, [(0, 2), (1, 15), (2, 2), (3, 15)]]",0.001,"[114.72, 2.28, 1, [(0, 2), (1, 2), (2, 2), (3, 2)]]",0.001,"[122.67, -5.67, 1, [(0, 11), (1, 8), (2, 7), (3, 14)]]",0.0
46,"[270.41, 75.59, 2, [(0, 2), (1, 1), (2, 1), (3, 5)]]",0.004,"[137.63, 35.37, 1, [(0, 1), (1, 2), (2, 1), (3, 2)]]",0.0,"[275.27, 70.73, 2, [(0, 1), (1, 2), (2, 1), (3, 5)]]",0.0,"[132.38, 40.62, 1, [(0, 1), (1, 1), (2, 1), (3, 1)]]",0.0,"[136.1, 36.9, 1, [(0, 5), (1, 3), (2, 1), (3, 1)]]",0.0
47,"[204.56, -99.56, 1, [(0, 1), (1, 1), (2, 1), (3, 1), (4, 6), (5, 6)]]",0.942,"[209.22, -104.22, 1, [(0, 8), (1, 1), (2, 8), (3, 1), (4, 8), (5, 1)]]",0.0,"[209.22, -104.22, 1, [(0, 8), (1, 1), (2, 8), (3, 1), (4, 8), (5, 5)]]",0.0,None,0.0,"[207.74, -102.74, 1, [(0, 8), (1, 7), (2, 2), (3, 6), (4, 1), (5, 1)]]",0.0
48,"[305.87, 219.13, 3, [(0, 1), (1, 2), (2, 2), (3, 6), (4, 6)]]",0.1295,"[112.44, 62.56, 1, [(0, 2), (1, 6), (2, 2), (3, 6), (4, 2)]]",0.0,"[224.88, 125.12, 2.0, [(0, 6), (1, 2), (2, 6), (3, 7), (4, 6)]]",0.001,"[97.96, 77.04, 1, [(0, 6), (1, 6), (2, 6), (3, 6), (4, 6)]]",0.0,"[112.44, 62.56, 1, [(0, 7), (1, 3), (2, 4), (3, 7), (4, 1)]]",0.0
